Word,Frequency,NonStopWord,Probability
project,89,True,0.00646
gutenberg,97,True,0.00704
ebook,13,True,0.00094
philosophy,85,True,0.00617
united,18,True,0.00131
cost,3,True,0.00022
restrictions,2,True,0.00015
whatsoever,2,True,0.00015
terms,56,True,0.00406
license,18,True,0.00131
included,10,True,0.00073
online,4,True,0.00029
located,7,True,0.00051
check,4,True,0.00029
laws,33,True,0.00239
country,4,True,0.00029
title,1,True,7e-05
author,1,True,7e-05
bertrand,3,True,0.00022
russell,3,True,0.00022
release,1,True,7e-05
june,1,True,7e-05
1,60,True,0.00435
2004,1,True,7e-05
5827,1,True,7e-05
updated,2,True,0.00015
december,1,True,7e-05
5,7,True,0.00051
2019,1,True,7e-05
language,3,True,0.00022
english,1,True,7e-05
start,9,True,0.00065
produced,4,True,0.00029
gordon,1,True,7e-05
keener,1,True,7e-05
preface,1,True,7e-05
confined,6,True,0.00044
main,7,True,0.00051
regard,25,True,0.00181
positive,4,True,0.00029
constructive,1,True,7e-05
negative,2,True,0.00015
criticism,8,True,0.00058
reason,53,True,0.00385
theory,22,True,0.0016
knowledge,306,True,0.02221
occupies,2,True,0.00015
larger,1,True,7e-05
space,74,True,0.00537
metaphysics,4,True,0.00029
volume,1,True,7e-05
topics,1,True,7e-05
discussed,2,True,0.00015
philosophers,37,True,0.00269
treated,1,True,7e-05
derived,17,True,0.00123
valuable,4,True,0.00029
assistance,3,True,0.00022
unpublished,1,True,7e-05
writings,2,True,0.00015
moore,1,True,7e-05
keynes,1,True,7e-05
relations,44,True,0.00319
sense,234,True,0.01698
data,138,True,0.01001
physical,101,True,0.00733
objects,95,True,0.00689
probability,18,True,0.00131
induction,15,True,0.00109
profited,1,True,7e-05
greatly,2,True,0.00015
criticisms,1,True,7e-05
suggestions,1,True,7e-05
professor,2,True,0.00015
gilbert,1,True,7e-05
murray,1,True,7e-05
1912,1,True,7e-05
chapter,47,True,0.00341
appearance,15,True,0.00109
reality,16,True,0.00116
reasonable,7,True,0.00051
doubt,38,True,0.00276
question,59,True,0.00428
sight,16,True,0.00116
difficult,23,True,0.00167
realized,1,True,7e-05
obstacles,1,True,7e-05
straightforward,1,True,7e-05
confident,2,True,0.00015
answer,27,True,0.00196
launched,1,True,7e-05
study,12,True,0.00087
attempt,16,True,0.00116
ultimate,7,True,0.00051
questions,27,True,0.00196
carelessly,1,True,7e-05
dogmatically,2,True,0.00015
ordinary,7,True,0.00051
life,32,True,0.00232
sciences,5,True,0.00036
critically,2,True,0.00015
exploring,1,True,7e-05
puzzling,1,True,7e-05
realizing,2,True,0.00015
vagueness,1,True,7e-05
confusion,8,True,0.00058
underlie,1,True,7e-05
ideas,37,True,0.00269
daily,8,True,0.00058
assume,10,True,0.00073
closer,1,True,7e-05
scrutiny,3,True,0.00022
apparent,13,True,0.00094
contradictions,5,True,0.00036
enables,6,True,0.00044
search,4,True,0.00029
certainty,32,True,0.00232
natural,14,True,0.00102
experiences,15,True,0.00109
statement,14,True,0.00102
wrong,6,True,0.00044
sitting,4,True,0.00029
chair,2,True,0.00015
table,93,True,0.00675
shape,24,True,0.00174
sheets,1,True,7e-05
paper,2,True,0.00015
writing,5,True,0.00036
print,4,True,0.00029
head,5,True,0.00036
window,1,True,7e-05
buildings,1,True,7e-05
clouds,1,True,7e-05
sun,31,True,0.00225
miles,1,True,7e-05
earth,7,True,0.00051
hot,1,True,7e-05
globe,1,True,7e-05
times,11,True,0.0008
bigger,1,True,7e-05
earth's,2,True,0.00015
rotation,2,True,0.00015
rises,2,True,0.00015
morning,2,True,0.00015
continue,6,True,0.00044
indefinite,2,True,0.00015
time,67,True,0.00486
future,26,True,0.00189
normal,4,True,0.00029
person,33,True,0.00239
chairs,2,True,0.00015
tables,2,True,0.00015
books,4,True,0.00029
papers,1,True,7e-05
feel,15,True,0.00109
pressing,1,True,7e-05
arm,3,True,0.00022
evident,37,True,0.00269
worth,5,True,0.00036
stating,2,True,0.00015
doubts,2,True,0.00015
doubted,5,True,0.00036
requires,5,True,0.00036
careful,1,True,7e-05
discussion,4,True,0.00029
stated,8,True,0.00058
form,36,True,0.00261
wholly,17,True,0.00123
true,130,True,0.00943
difficulties,7,True,0.00051
plain,17,True,0.00123
concentrate,1,True,7e-05
attention,5,True,0.00036
eye,9,True,0.00065
oblong,2,True,0.00015
brown,14,True,0.00102
shiny,1,True,7e-05
touch,15,True,0.00109
smooth,2,True,0.00015
cool,1,True,7e-05
hard,9,True,0.00065
tap,1,True,7e-05
wooden,1,True,7e-05
sound,8,True,0.00058
feels,2,True,0.00015
hears,2,True,0.00015
agree,12,True,0.00087
description,45,True,0.00327
difficulty,14,True,0.00102
precise,7,True,0.00051
troubles,1,True,7e-05
colour,58,True,0.00421
reflect,5,True,0.00036
light,23,True,0.00167
brighter,1,True,7e-05
white,16,True,0.00116
reflected,3,True,0.00022
distribution,8,True,0.00058
colours,12,True,0.00087
change,5,True,0.00036
people,38,True,0.00276
moment,14,True,0.00102
view,52,True,0.00377
practical,7,True,0.00051
purposes,2,True,0.00015
differences,2,True,0.00015
unimportant,1,True,7e-05
painter,3,True,0.00022
unlearn,1,True,7e-05
habit,6,True,0.00044
thinking,11,True,0.0008
common,36,True,0.00261
learn,7,True,0.00051
distinctions,2,True,0.00015
trouble,1,True,7e-05
distinction,7,True,0.00051
philosopher,10,True,0.00073
philosopher's,1,True,7e-05
stronger,2,True,0.00015
man's,11,True,0.0008
troubled,1,True,7e-05
answering,3,True,0.00022
return,8,True,0.00058
pre,1,True,7e-05
eminently,1,True,7e-05
appears,17,True,0.00123
_the_,2,True,0.00015
artificial,1,True,7e-05
blind,13,True,0.00094
wearing,1,True,7e-05
blue,9,True,0.00065
spectacles,1,True,7e-05
dark,3,True,0.00022
hearing,4,True,0.00029
unchanged,1,True,7e-05
inherent,1,True,7e-05
depending,1,True,7e-05
spectator,3,True,0.00022
falls,1,True,7e-05
speak,9,True,0.00065
sort,42,True,0.00305
usual,3,True,0.00022
conditions,4,True,0.00029
considered,14,True,0.00102
real,53,True,0.00385
avoid,5,True,0.00036
favouritism,1,True,7e-05
compelled,5,True,0.00036
deny,12,True,0.00087
applies,17,True,0.00123
texture,1,True,7e-05
naked,3,True,0.00022
grain,1,True,7e-05
looked,1,True,7e-05
microscope,4,True,0.00029
roughnesses,2,True,0.00015
hills,1,True,7e-05
valleys,1,True,7e-05
sorts,5,True,0.00036
imperceptible,2,True,0.00015
naturally,9,True,0.00065
tempted,1,True,7e-05
changed,1,True,7e-05
powerful,2,True,0.00015
trust,2,True,0.00015
confidence,3,True,0.00022
senses,22,True,0.0016
deserts,1,True,7e-05
judging,11,True,0.0008
shapes,5,True,0.00036
unreflectingly,1,True,7e-05
draw,9,True,0.00065
rectangular,3,True,0.00022
acute,1,True,7e-05
angles,3,True,0.00022
obtuse,1,True,7e-05
parallel,2,True,0.00015
converged,1,True,7e-05
equal,1,True,7e-05
nearer,5,True,0.00036
commonly,10,True,0.00073
noticed,2,True,0.00015
experience,80,True,0.00581
taught,1,True,7e-05
construct,1,True,7e-05
inferred,10,True,0.00073
constantly,6,True,0.00044
changing,2,True,0.00015
truth,89,True,0.00646
sensation,19,True,0.00138
hardness,6,True,0.00044
resists,2,True,0.00015
pressure,1,True,7e-05
depends,12,True,0.00087
press,3,True,0.00022
body,25,True,0.00181
sensations,20,True,0.00145
pressures,1,True,7e-05
supposed,22,True,0.0016
reveal,4,True,0.00029
_directly_,1,True,7e-05
definite,19,True,0.00138
property,19,True,0.00138
_signs_,1,True,7e-05
_causes_,1,True,7e-05
sounds,7,True,0.00051
elicited,4,True,0.00029
rapping,1,True,7e-05
_immediately_,3,True,0.00022
inference,15,True,0.00109
2,12,True,0.00087
object,105,True,0.00762
simple,6,True,0.00044
meaning,11,True,0.0008
smells,1,True,7e-05
hardnesses,1,True,7e-05
aware,24,True,0.00174
_of_,3,True,0.00022
datum,23,True,0.00167
awareness,3,True,0.00022
smoothness,3,True,0.00022
associate,2,True,0.00015
reasons,19,True,0.00138
properties,16,True,0.00116
arises,4,True,0.00029
relation,94,True,0.00682
supposing,9,True,0.00065
exists,33,True,0.00239
collection,14,True,0.00102
called,49,True,0.00356
matter,46,True,0.00334
nature,58,True,0.00421
brought,4,True,0.00029
prominently,4,True,0.00029
existing,9,True,0.00065
independently,10,True,0.00073
bishop,2,True,0.00015
berkeley,21,True,0.00152
1685,1,True,7e-05
1753,1,True,7e-05
_three,2,True,0.00015
dialogues,2,True,0.00015
hylas,3,True,0.00022
philonous,2,True,0.00015
opposition,3,True,0.00022
sceptics,1,True,7e-05
atheists_,1,True,7e-05
undertake,1,True,7e-05
prove,26,True,0.00189
consists,21,True,0.00152
minds,50,True,0.00363
hitherto,8,True,0.00058
believed,13,True,0.00094
match,1,True,7e-05
mercilessly,1,True,7e-05
drives,1,True,7e-05
paradoxes,1,True,7e-05
denial,3,True,0.00022
arguments,16,True,0.00116
employed,4,True,0.00029
confused,1,True,7e-05
quibbling,1,True,7e-05
retains,2,True,0.00015
merit,2,True,0.00015
existence,55,True,0.00399
capable,16,True,0.00116
denied,5,True,0.00036
absurdity,3,True,0.00022
exist,54,True,0.00392
involved,19,True,0.00138
opposed,14,True,0.00102
mind,85,True,0.00617
occupying,1,True,7e-05
radically,6,True,0.00044
incapable,8,True,0.00058
consciousness,8,True,0.00058
chiefly,2,True,0.00015
denies,1,True,7e-05
signs,7,True,0.00051
_something_,1,True,7e-05
independent,19,True,0.00138
mental,35,True,0.00254
entertained,2,True,0.00015
admits,2,True,0.00015
continues,6,True,0.00044
shut,5,True,0.00036
eyes,6,True,0.00044
believing,23,True,0.00167
persists,3,True,0.00022
altogether,5,True,0.00036
_our_,1,True,7e-05
led,14,True,0.00102
idea,31,True,0.00225
god,8,True,0.00058
required,11,True,0.0008
permanence,1,True,7e-05
independence,1,True,7e-05
unknowable,3,True,0.00022
infer,5,True,0.00036
held,17,True,0.00123
depend,13,True,0.00094
apprehended,10,True,0.00073
_some_,5,True,0.00036
collective,1,True,7e-05
universe,31,True,0.00225
hold,11,True,0.0008
rate,10,True,0.00073
feelings,10,True,0.00073
argument,26,True,0.00189
support,8,True,0.00058
inconceivable,2,True,0.00015
opinion,14,True,0.00102
fallacious,6,True,0.00044
advance,4,True,0.00029
shortly,1,True,7e-05
crudely,1,True,7e-05
valid,10,True,0.00073
advanced,3,True,0.00022
majority,1,True,7e-05
idealists,5,True,0.00036
explaining,3,True,0.00022
leibniz,8,True,0.00058
1646,1,True,7e-05
1716,1,True,7e-05
rudimentary,2,True,0.00015
admit,14,True,0.00102
remembered,9,True,0.00065
colony,1,True,7e-05
souls,2,True,0.00015
affirmative,1,True,7e-05
diverge,1,True,7e-05
views,5,True,0.00036
mortals,2,True,0.00015
agreed,5,True,0.00036
occurrence,4,True,0.00029
sign,4,True,0.00029
differing,3,True,0.00022
completely,10,True,0.00073
regarded,12,True,0.00087
causing,1,True,7e-05
suitable,2,True,0.00015
_is_,8,True,0.00058
vitally,2,True,0.00015
accepting,4,True,0.00029
concerned,16,True,0.00116
discovered,7,True,0.00051
appeared,5,True,0.00036
knowing,14,True,0.00102
finding,6,True,0.00044
bewildering,1,True,7e-05
strangest,1,True,7e-05
hypotheses,7,True,0.00051
familiar,6,True,0.00044
roused,1,True,7e-05
slightest,4,True,0.00029
surprising,3,True,0.00022
possibilities,7,True,0.00051
modest,2,True,0.00015
result,19,True,0.00138
complete,6,True,0.00044
liberty,1,True,7e-05
conjecture,1,True,7e-05
tells,8,True,0.00058
community,1,True,7e-05
sober,1,True,7e-05
science,31,True,0.00225
scarcely,6,True,0.00044
wonderful,1,True,7e-05
vast,1,True,7e-05
electric,1,True,7e-05
charges,2,True,0.00015
violent,1,True,7e-05
motion,18,True,0.00131
suggests,2,True,0.00015
_answer_,1,True,7e-05
power,10,True,0.00073
_asking_,1,True,7e-05
increase,1,True,7e-05
strangeness,1,True,7e-05
lying,1,True,7e-05
surface,2,True,0.00015
commonest,2,True,0.00015
intrinsic,9,True,0.00065
product,6,True,0.00044
imagination,7,True,0.00051
dream,9,True,0.00065
prolonged,1,True,7e-05
people's,8,True,0.00058
bodies,8,True,0.00058
grounds,11,True,0.0008
observing,1,True,7e-05
left,9,True,0.00065
desert,1,True,7e-05
outer,8,True,0.00058
uncomfortable,1,True,7e-05
possibility,9,True,0.00065
strictly,7,True,0.00051
proved,18,True,0.00131
false,27,True,0.00196
suppose,35,True,0.00254
embark,1,True,7e-05
matters,6,True,0.00044
fixed,1,True,7e-05
doubting,5,True,0.00036
experienced,10,True,0.00073
psychological,5,True,0.00036
calling,2,True,0.00015
absolutely,3,True,0.00022
descartes,6,True,0.00044
1596,1,True,7e-05
1650,1,True,7e-05
founder,2,True,0.00015
modern,6,True,0.00044
invented,1,True,7e-05
method,7,True,0.00051
profit,2,True,0.00015
systematic,2,True,0.00015
determined,3,True,0.00022
distinctly,1,True,7e-05
bring,3,True,0.00022
applying,2,True,0.00015
gradually,4,True,0.00029
convinced,2,True,0.00015
_quite_,1,True,7e-05
imagined,2,True,0.00015
deceitful,1,True,7e-05
demon,3,True,0.00022
unreal,2,True,0.00015
perpetual,1,True,7e-05
phantasmagoria,1,True,7e-05
improbable,3,True,0.00022
existed,5,True,0.00036
perceived,8,True,0.00058
deceive,1,True,7e-05
absolute,15,True,0.00109
_cogito,1,True,7e-05
ergo,1,True,7e-05
sum_,1,True,7e-05
basis,8,True,0.00058
set,14,True,0.00102
build,1,True,7e-05
laid,2,True,0.00015
ruins,2,True,0.00015
inventing,1,True,7e-05
subjective,3,True,0.00022
performed,6,True,0.00044
service,2,True,0.00015
students,4,True,0.00029
subject,25,True,0.00181
care,6,True,0.00044
day,9,True,0.00065
yesterday,4,True,0.00029
arrive,7,True,0.00051
convincing,1,True,7e-05
belongs,9,True,0.00065
_i_,1,True,7e-05
involves,8,True,0.00058
involve,15,True,0.00109
permanent,7,True,0.00051
momentary,1,True,7e-05
primitive,1,True,7e-05
dreams,12,True,0.00087
hallucinations,2,True,0.00015
perceptions,6,True,0.00044
ghost,3,True,0.00022
corresponds,5,True,0.00036
limited,9,True,0.00065
exceptional,2,True,0.00015
solid,1,True,7e-05
pursuit,2,True,0.00015
granted,6,True,0.00044
enumerated,1,True,7e-05
connected,11,True,0.0008
unhesitatingly,2,True,0.00015
answers,11,True,0.0008
bought,2,True,0.00015
sold,1,True,7e-05
pushed,1,True,7e-05
cloth,3,True,0.00022
_mere_,1,True,7e-05
hides,1,True,7e-05
derive,7,True,0.00051
ceased,4,True,0.00029
suspended,1,True,7e-05
air,5,True,0.00036
resting,1,True,7e-05
miracle,1,True,7e-05
plainly,4,True,0.00029
absurd,5,True,0.00036
wishes,5,True,0.00036
frightened,1,True,7e-05
absurdities,1,True,7e-05
secure,3,True,0.00022
addition,8,True,0.00058
dinner,1,True,7e-05
preposterous,2,True,0.00015
maintain,1,True,7e-05
tablecloth,1,True,7e-05
knives,1,True,7e-05
forks,1,True,7e-05
spoons,1,True,7e-05
glasses,1,True,7e-05
private,21,True,0.00152
separate,6,True,0.00044
public,9,True,0.00065
neutral,4,True,0.00029
occurs,4,True,0.00029
variations,1,True,7e-05
follow,7,True,0.00051
perspective,1,True,7e-05
reflection,10,True,0.00073
easy,7,True,0.00051
underlying,2,True,0.00015
occupant,1,True,7e-05
_his_,2,True,0.00015
died,4,True,0.00029
expectation,2,True,0.00015
underlies,1,True,7e-05
considerations,2,True,0.00015
beg,1,True,7e-05
issue,2,True,0.00015
represented,6,True,0.00044
voices,1,True,7e-05
appeal,4,True,0.00029
testimony,5,True,0.00036
purely,6,True,0.00044
characteristics,9,True,0.00065
tend,2,True,0.00015
admitted,6,True,0.00044
logical,23,True,0.00167
hypothesis,5,True,0.00036
mere,18,True,0.00131
fancy,1,True,7e-05
complicated,3,True,0.00022
waking,5,True,0.00036
delusion,1,True,7e-05
corresponded,1,True,7e-05
assumed,4,True,0.00029
door,2,True,0.00015
banging,1,True,7e-05
instance,34,True,0.00247
naval,2,True,0.00015
engagement,1,True,7e-05
actual,28,True,0.00203
battle,3,True,0.00022
correspond,8,True,0.00058
impossibility,5,True,0.00036
supposition,4,True,0.00029
create,3,True,0.00022
logically,11,True,0.0008
impossible,15,True,0.00109
viewed,2,True,0.00015
accounting,1,True,7e-05
action,4,True,0.00029
simplicity,2,True,0.00015
easily,7,True,0.00051
cat,5,True,0.00036
moved,1,True,7e-05
passing,2,True,0.00015
series,2,True,0.00015
intermediate,2,True,0.00015
positions,4,True,0.00029
suddenly,2,True,0.00015
sprang,1,True,7e-05
understand,21,True,0.00152
hungry,2,True,0.00015
meal,2,True,0.00015
odd,1,True,7e-05
appetite,1,True,7e-05
grow,1,True,7e-05
fast,1,True,7e-05
hunger,3,True,0.00022
behaviour,1,True,7e-05
represent,1,True,7e-05
expression,2,True,0.00015
utterly,2,True,0.00015
inexplicable,1,True,7e-05
movements,1,True,7e-05
patches,3,True,0.00022
triangle,7,True,0.00051
playing,1,True,7e-05
football,1,True,7e-05
compared,1,True,7e-05
human,15,True,0.00109
hear,10,True,0.00073
noises,1,True,7e-05
simultaneously,5,True,0.00036
motions,6,True,0.00044
lips,1,True,7e-05
expressions,1,True,7e-05
emitted,1,True,7e-05
happen,8,True,0.00058
mistaken,4,True,0.00029
suggested,4,True,0.00029
accounted,4,True,0.00029
scientific,8,True,0.00058
principles,50,True,0.00363
principle,54,True,0.00392
urges,1,True,7e-05
adopt,6,True,0.00044
dependent,9,True,0.00065
perceiving,3,True,0.00022
originally,1,True,7e-05
belief,99,True,0.00718
external,2,True,0.00015
ready,2,True,0.00015
_instinctive_,1,True,7e-05
instinctively,3,True,0.00022
identical,5,True,0.00036
discovery,2,True,0.00015
paradoxical,1,True,7e-05
taste,4,True,0.00029
smell,2,True,0.00015
leaves,4,True,0.00029
undiminished,1,True,7e-05
instinctive,11,True,0.0008
_are_,1,True,7e-05
_corresponding_,2,True,0.00015
lead,3,True,0.00022
contrary,14,True,0.00102
simplify,1,True,7e-05
systematize,1,True,7e-05
account,18,True,0.00131
rejecting,4,True,0.00029
slight,4,True,0.00029
continuing,1,True,7e-05
perceive,12,True,0.00087
conclusion,17,True,0.00123
doubtless,1,True,7e-05
strong,4,True,0.00029
typical,1,True,7e-05
philosophical,12,True,0.00087
character,5,True,0.00036
validity,7,True,0.00051
built,2,True,0.00015
beliefs,50,True,0.00363
rejected,4,True,0.00029
association,10,True,0.00073
entangled,1,True,7e-05
falsely,4,True,0.00029
hierarchy,2,True,0.00015
isolated,2,True,0.00015
irrelevant,5,True,0.00036
additions,2,True,0.00015
finally,3,True,0.00022
clash,1,True,7e-05
harmonious,3,True,0.00022
clashes,1,True,7e-05
harmonize,2,True,0.00015
worthy,2,True,0.00015
acceptance,1,True,7e-05
_possible_,1,True,7e-05
element,3,True,0.00022
_reason_,1,True,7e-05
reject,6,True,0.00044
ground,10,True,0.00073
organizing,1,True,7e-05
consequences,1,True,7e-05
modify,1,True,7e-05
abandon,2,True,0.00015
sole,3,True,0.00022
orderly,1,True,7e-05
organization,2,True,0.00015
_possibility_,1,True,7e-05
error,16,True,0.00116
remains,9,True,0.00065
likelihood,2,True,0.00015
diminished,1,True,7e-05
interrelation,1,True,7e-05
critical,6,True,0.00044
preceded,2,True,0.00015
acquiescence,1,True,7e-05
function,2,True,0.00015
perform,3,True,0.00022
rightly,3,True,0.00022
wrongly,3,True,0.00022
attainable,1,True,7e-05
spoken,4,True,0.00029
suffices,2,True,0.00015
begun,1,True,7e-05
adequacy,1,True,7e-05
justify,3,True,0.00022
arduous,1,True,7e-05
labours,2,True,0.00015
iii,1,True,7e-05
preceding,9,True,0.00065
demonstrative,1,True,7e-05
rational,2,True,0.00015
noise,4,True,0.00029
appearances,1,True,7e-05
ceases,5,True,0.00036
remove,2,True,0.00015
contact,7,True,0.00051
cease,4,True,0.00029
rap,2,True,0.00015
knuckles,2,True,0.00015
continuously,1,True,7e-05
reappear,1,True,7e-05
replace,3,True,0.00022
perception,12,True,0.00087
incomplete,9,True,0.00065
hypothetical,3,True,0.00022
deserving,1,True,7e-05
respect,4,True,0.00029
unconsciously,2,True,0.00015
drifted,1,True,7e-05
phenomena,9,True,0.00065
reduced,2,True,0.00015
heat,2,True,0.00015
wave,10,True,0.00073
travel,3,True,0.00022
emitting,1,True,7e-05
aether,1,True,7e-05
gross,3,True,0.00022
assigns,1,True,7e-05
position,8,True,0.00058
_may_,1,True,7e-05
assist,1,True,7e-05
misleading,6,True,0.00044
_not_,2,True,0.00015
convey,2,True,0.00015
acquire,5,True,0.00036
sea,1,True,7e-05
voyage,1,True,7e-05
_light_,2,True,0.00015
caused,5,True,0.00036
waves,6,True,0.00044
nerves,2,True,0.00015
brain,2,True,0.00015
meant,9,True,0.00065
remarks,1,True,7e-05
apply,9,True,0.00065
kinds,11,True,0.0008
absent,3,True,0.00022
_space_,1,True,7e-05
essential,7,True,0.00051
_a_,5,True,0.00036
infancy,1,True,7e-05
touching,3,True,0.00022
circular,4,True,0.00029
coin,1,True,7e-05
_judge_,1,True,7e-05
_look_,1,True,7e-05
oval,1,True,7e-05
straight,7,True,0.00051
judge,12,True,0.00087
intrinsically,4,True,0.00029
concerns,3,True,0.00022
anybody's,1,True,7e-05
_apparent_,1,True,7e-05
percipient,2,True,0.00015
_private_,1,True,7e-05
spaces,11,True,0.0008
_connected_,1,True,7e-05
manner,5,True,0.00036
connexion,19,True,0.00138
investigation,2,True,0.00015
provisionally,1,True,7e-05
_causing_,1,True,7e-05
notice,5,True,0.00036
organs,3,True,0.00022
close,2,True,0.00015
occupied,3,True,0.00022
roughly,2,True,0.00015
speaking,9,True,0.00065
opaque,1,True,7e-05
touches,1,True,7e-05
tongue,1,True,7e-05
circumstances,6,True,0.00044
relative,4,True,0.00029
determine,3,True,0.00022
situated,1,True,7e-05
vaguer,1,True,7e-05
embracing,1,True,7e-05
road,5,True,0.00036
house,3,True,0.00022
bear,2,True,0.00015
reached,2,True,0.00015
sooner,5,True,0.00036
walk,1,True,7e-05
ordnance,1,True,7e-05
map,2,True,0.00015
spatial,3,True,0.00022
houses,2,True,0.00015
dealt,6,True,0.00044
geometry,5,True,0.00036
physics,1,True,7e-05
astronomy,2,True,0.00015
assuming,6,True,0.00044
_only_,2,True,0.00015
correspondence,10,True,0.00073
arrangement,3,True,0.00022
moon,2,True,0.00015
eclipse,1,True,7e-05
visual,2,True,0.00015
_relations_,4,True,0.00029
distances,5,True,0.00036
distance,3,True,0.00022
acquaintance,78,True,0.00566
born,4,True,0.00029
preserve,3,True,0.00022
_feeling_,1,True,7e-05
duration,2,True,0.00015
lapse,1,True,7e-05
notoriously,2,True,0.00015
unsafe,1,True,7e-05
guide,1,True,7e-05
elapsed,1,True,7e-05
clock,1,True,7e-05
bored,1,True,7e-05
suffering,1,True,7e-05
pain,2,True,0.00015
pass,10,True,0.00073
slowly,1,True,7e-05
agreeably,1,True,7e-05
sleeping,1,True,7e-05
constituted,6,True,0.00044
necessity,7,True,0.00051
distinguishing,3,True,0.00022
_order_,2,True,0.00015
events,4,True,0.00029
regiment,2,True,0.00015
marching,1,True,7e-05
arranged,2,True,0.00015
preservation,1,True,7e-05
guard,2,True,0.00015
misunderstanding,1,True,7e-05
constitute,6,True,0.00044
thunder,3,True,0.00022
lightning,5,True,0.00036
simultaneous,2,True,0.00015
disturbance,3,True,0.00022
travelled,2,True,0.00015
takes,2,True,0.00015
minutes,4,True,0.00029
sun's,1,True,7e-05
reach,7,True,0.00051
afford,3,True,0.00022
evidence,42,True,0.00305
difference,11,True,0.0008
affords,2,True,0.00015
fresh,8,True,0.00058
illustration,6,True,0.00044
counterparts,1,True,7e-05
red,19,True,0.00138
presume,2,True,0.00015
similarity,2,True,0.00015
hope,10,True,0.00073
acquainted,71,True,0.00515
quality,11,True,0.0008
direct,9,True,0.00065
familiarity,2,True,0.00015
holds,5,True,0.00036
closely,2,True,0.00015
knowable,1,True,7e-05
remain,12,True,0.00087
unknown,3,True,0.00022
discovering,5,True,0.00036
ultimately,5,True,0.00036
defensible,1,True,7e-05
_exactly_,1,True,7e-05
luck,2,True,0.00015
medium,8,True,0.00058
shades,5,True,0.00036
refuted,2,True,0.00015
groundless,1,True,7e-05
strike,1,True,7e-05
modified,2,True,0.00015
intervening,2,True,0.00015
direction,6,True,0.00044
alters,1,True,7e-05
perfectly,6,True,0.00044
alter,2,True,0.00015
ray,2,True,0.00015
reaches,3,True,0.00022
simply,6,True,0.00044
gratuitous,1,True,7e-05
justification,3,True,0.00022
enabling,2,True,0.00015
explained,3,True,0.00022
contended,1,True,7e-05
favour,8,True,0.00058
iv,3,True,0.00022
idealism,6,True,0.00044
word,38,True,0.00276
doctrine,4,True,0.00029
forms,5,True,0.00036
advocated,6,True,0.00044
briefest,1,True,7e-05
survey,4,True,0.00029
unaccustomed,1,True,7e-05
speculation,3,True,0.00022
inclined,2,True,0.00015
dismiss,1,True,7e-05
